,mean episodic length,mean episodic rewards,timestep
0,200.0,-1007.7285736990567,613600
0,200.0,-1000.2484284084175,616200
0,200.0,-948.8185169126967,618800
0,200.0,-1007.7018479618941,621400
0,200.0,-1084.4309323222142,624000
0,200.0,-987.4681459363752,626600
0,200.0,-960.7132101293129,629200
0,200.0,-1019.7490154725167,631800
0,200.0,-944.1778528686896,634400
0,200.0,-991.7788019730924,637000
0,200.0,-1007.8966173396154,639600
0,200.0,-1060.2816962715892,642200
0,200.0,-1015.9996301538403,644800
0,200.0,-1034.9962750436127,647400
0,200.0,-937.6553559604795,650000
0,200.0,-914.5907537908649,652600
0,200.0,-1048.692249823203,655200
0,200.0,-992.5184319344238,657800
0,200.0,-965.2572859396527,660400
0,200.0,-1042.9348604693341,663000
0,200.0,-1027.8175466524926,665600
0,200.0,-949.3484017668932,668200
0,200.0,-1030.3244053302537,670800
0,200.0,-965.0911841550175,673400
0,200.0,-1012.6437120213458,676000
0,200.0,-955.5011964308399,678600
0,200.0,-910.1792281282844,681200
0,200.0,-946.2586069156712,683800
0,200.0,-1021.1424271550379,686400
0,200.0,-1012.1389703937386,689000
0,200.0,-1014.8105053726855,691600
0,200.0,-991.5985018769742,694200
0,200.0,-902.0558768645958,696800
0,200.0,-915.6733615820781,699400
0,200.0,-936.6745522373833,702000
0,200.0,-902.6734817405105,704600
0,200.0,-972.1078411773367,707200
0,200.0,-1050.541949819652,709800
0,200.0,-976.3292034929121,712400
0,200.0,-1003.5628105788353,715000
0,200.0,-944.6704487974152,717600
0,200.0,-955.1467068769741,720200
0,200.0,-984.6542637145467,722800
0,200.0,-897.5946035823852,725400
0,200.0,-939.0250532577779,728000
0,200.0,-953.9369110595128,730600
0,200.0,-1051.95263870634,733200
0,200.0,-1020.8735929153188,735800
0,200.0,-993.5211274206861,738400
0,200.0,-1003.9264113510698,741000
0,200.0,-950.936834057125,743600
0,200.0,-967.414238348043,746200
0,200.0,-982.8751263210613,748800
0,200.0,-843.9097039306796,751400
0,200.0,-994.035361876944,754000
0,200.0,-927.1609896350111,756600
0,200.0,-900.816759922689,759200
0,200.0,-1017.9517776214973,761800
0,200.0,-970.586313514926,764400
0,200.0,-959.0308665153717,767000
0,200.0,-957.4998858852939,769600
0,200.0,-926.0299895745591,772200
0,200.0,-985.9355770177731,774800
0,200.0,-884.9392463813276,777400
0,200.0,-923.409866981665,780000
0,200.0,-923.9500013852826,782600
0,200.0,-940.6883881040851,785200
0,200.0,-1017.177544535977,787800
0,200.0,-919.9886970285954,790400
0,200.0,-905.7001674734901,793000
0,200.0,-1005.3439209201939,795600
0,200.0,-886.9126130168812,798200
0,200.0,-906.0942964175424,800800
0,200.0,-936.3715044028987,803400
0,200.0,-1028.3580260217777,806000
0,200.0,-953.3226815248082,808600
0,200.0,-979.4741959188698,811200
0,200.0,-862.8216181017616,813800
0,200.0,-929.3563695237983,816400
0,200.0,-947.8627660242782,819000
0,200.0,-874.1332480565327,821600
0,200.0,-920.1832579226598,824200
0,200.0,-937.9197379335233,826800
0,200.0,-841.5548144085541,829400
0,200.0,-853.649934793315,832000
0,200.0,-938.2811940027076,834600
0,200.0,-1046.7614749454335,837200
0,200.0,-906.295173906618,839800
0,200.0,-852.8289455254768,842400
0,200.0,-919.5475090134654,845000
0,200.0,-967.4090963175584,847600
0,200.0,-921.2809548126396,850200
0,200.0,-952.8773340478978,852800
0,200.0,-877.4368751573782,855400
0,200.0,-919.5130468971427,858000
0,200.0,-947.3783714848443,860600
0,200.0,-957.5103290788619,863200
0,200.0,-934.3771048934294,865800
0,200.0,-904.8867632263971,868400
0,200.0,-988.3938905299818,871000
0,200.0,-931.5898592301756,873600
0,200.0,-899.5595911537407,876200
0,200.0,-873.6415097324067,878800
0,200.0,-913.8997485978236,881400
0,200.0,-922.211036265758,884000
0,200.0,-892.5222739384258,886600
0,200.0,-875.7148443500602,889200
0,200.0,-922.824687285154,891800
0,200.0,-920.5418160810607,894400
0,200.0,-932.7789909779669,897000
0,200.0,-864.0112854486997,899600
0,200.0,-807.7941702879217,902200
0,200.0,-799.9430324698941,904800
0,200.0,-900.4224717410281,907400
0,200.0,-876.0175730024463,910000
0,200.0,-914.067825482259,912600
0,200.0,-971.3134375269955,915200
0,200.0,-835.7735827810156,917800
0,200.0,-882.5835008433207,920400
0,200.0,-959.8531706540679,923000
0,200.0,-919.2547441607015,925600
0,200.0,-863.6713010491718,928200
0,200.0,-919.7230032998821,930800
0,200.0,-791.8454378755697,933400
0,200.0,-845.6393509866866,936000
0,200.0,-912.0502318118114,938600
0,200.0,-859.202924356959,941200
0,200.0,-816.7004005080488,943800
0,200.0,-937.6926377330609,946400
0,200.0,-842.0115498616317,949000
0,200.0,-853.8160375930255,951600
0,200.0,-882.8948353830589,954200
0,200.0,-908.9355365267977,956800
0,200.0,-846.4803875782169,959400
0,200.0,-878.4668723694261,962000
0,200.0,-945.6771925736841,964600
0,200.0,-905.0224377151396,967200
0,200.0,-821.9856296556292,969800
0,200.0,-880.9431201363179,972400
0,200.0,-964.0344320475099,975000
0,200.0,-860.4715946458649,977600
0,200.0,-846.1382948347747,980200
0,200.0,-902.1797914383968,982800
0,200.0,-857.4783519978275,985400
0,200.0,-836.9184484215874,988000
0,200.0,-855.1747379241151,990600
0,200.0,-781.2584807445395,993200
0,200.0,-859.0396072342666,995800
0,200.0,-829.3955681909806,998400
0,200.0,-836.905657250829,1001000
0,200.0,-778.1017615956093,1003600
0,200.0,-778.5138044258313,1006200
0,200.0,-835.6994162526003,1008800
0,200.0,-879.0181417259337,1011400
0,200.0,-855.987478225034,1014000
0,200.0,-798.1169877632566,1016600
0,200.0,-835.7123569866404,1019200
0,200.0,-875.9336989754792,1021800
0,200.0,-878.9988810020869,1024400
0,200.0,-871.2695242489364,1027000
0,200.0,-837.0781411589942,1029600
0,200.0,-799.0003117466521,1032200
0,200.0,-775.1597972881196,1034800
0,200.0,-803.0411635439102,1037400
0,200.0,-795.5508830058275,1040000
0,200.0,-795.6341148016393,1042600
0,200.0,-804.5345546383853,1045200
0,200.0,-855.0409623961307,1047800
0,200.0,-851.8135876526151,1050400
0,200.0,-885.3186958060779,1053000
0,200.0,-881.7675902865534,1055600
0,200.0,-856.9763040191227,1058200
0,200.0,-846.6274920260241,1060800
0,200.0,-807.0378801757204,1063400
0,200.0,-852.4284324908493,1066000
0,200.0,-840.7727420844373,1068600
0,200.0,-773.9331063197703,1071200
0,200.0,-785.1817780229169,1073800
0,200.0,-841.4191953398883,1076400
0,200.0,-746.771273869678,1079000
0,200.0,-810.8911442209776,1081600
0,200.0,-795.9174958810391,1084200
0,200.0,-782.5545893724258,1086800
0,200.0,-748.3014818922134,1089400
0,200.0,-809.327734377539,1092000
0,200.0,-834.5920908285239,1094600
0,200.0,-738.3770524387849,1097200
0,200.0,-802.2787066627009,1099800
0,200.0,-727.0469322242232,1102400
0,200.0,-769.159219319985,1105000
0,200.0,-755.3663076598511,1107600
0,200.0,-837.811594673789,1110200
0,200.0,-754.6920724283099,1112800
0,200.0,-834.4668729076136,1115400
0,200.0,-773.6150153453708,1118000
0,200.0,-774.7356163935796,1120600
0,200.0,-805.202985711559,1123200
0,200.0,-768.0789685215714,1125800
0,200.0,-782.6035243128055,1128400
0,200.0,-770.4891372265125,1131000
0,200.0,-779.5982587315696,1133600
0,200.0,-812.0798232778865,1136200
0,200.0,-742.3800000955123,1138800
0,200.0,-706.8703678682857,1141400
0,200.0,-711.752561503008,1144000
0,200.0,-740.5730265916035,1146600
0,200.0,-739.9762003793979,1149200
0,200.0,-708.8294303701658,1151800
0,200.0,-702.050752397637,1154400
0,200.0,-721.7964983116747,1157000
0,200.0,-728.2837845489062,1159600
0,200.0,-744.6832934203966,1162200
0,200.0,-679.6195836488746,1164800
0,200.0,-712.7981807597882,1167400
0,200.0,-698.7962786778202,1170000
0,200.0,-757.2641183424756,1172600
0,200.0,-799.0056728873408,1175200
0,200.0,-751.5711502154097,1177800
0,200.0,-728.5991068962913,1180400
0,200.0,-750.7157832335355,1183000
0,200.0,-715.4090064524033,1185600
0,200.0,-782.6221594399359,1188200
0,200.0,-719.8465226958889,1190800
0,200.0,-726.3448094044253,1193400
0,200.0,-783.9623793108877,1196000
0,200.0,-740.8831537811291,1198600
0,200.0,-661.1989673017276,1201200
0,200.0,-724.3432899629325,1203800
0,200.0,-718.426754778456,1206400
0,200.0,-734.0195820440687,1209000
0,200.0,-652.7934918465071,1211600
0,200.0,-666.5974147133634,1214200
0,200.0,-694.7619742830344,1216800
0,200.0,-699.5153173213373,1219400
0,200.0,-719.3184662322757,1222000
0,200.0,-695.9513864577629,1224600
0,200.0,-659.7165713247648,1227200
0,200.0,-730.6003657556843,1229800
0,200.0,-693.1899103795281,1232400
0,200.0,-671.1926490606809,1235000
0,200.0,-677.0931339855207,1237600
0,200.0,-660.0085973338028,1240200
0,200.0,-722.2230217196562,1242800
0,200.0,-692.7731125111284,1245400
0,200.0,-651.8731477856602,1248000
0,200.0,-674.7595138677976,1250600
0,200.0,-627.7649754658353,1253200
0,200.0,-728.7771634746755,1255800
0,200.0,-653.520711191318,1258400
0,200.0,-700.1166358958128,1261000
0,200.0,-723.0645956058272,1263600
0,200.0,-649.2572663980077,1266200
0,200.0,-596.8704627692231,1268800
0,200.0,-621.1848315669896,1271400
0,200.0,-697.7287146602794,1274000
0,200.0,-608.6768107894486,1276600
0,200.0,-710.9129843436274,1279200
0,200.0,-697.1287242101306,1281800
0,200.0,-668.5385226364111,1284400
0,200.0,-768.7239240894887,1287000
0,200.0,-627.3850676034338,1289600
0,200.0,-627.5173518770922,1292200
0,200.0,-609.4555811016938,1294800
0,200.0,-649.3636848970701,1297400
0,200.0,-620.241039374051,1300000
0,200.0,-621.2355958062263,1302600
0,200.0,-666.5743181264401,1305200
0,200.0,-621.8136202514489,1307800
0,200.0,-645.7452042525709,1310400
0,200.0,-645.5314957573772,1313000
0,200.0,-671.7935589320393,1315600
0,200.0,-677.8587874689604,1318200
0,200.0,-628.3513652813128,1320800
0,200.0,-629.1774489727638,1323400
0,200.0,-689.0055803145394,1326000
0,200.0,-610.6173765186736,1328600
0,200.0,-668.4928841470017,1331200
0,200.0,-721.3995599166428,1333800
0,200.0,-686.0741935019688,1336400
0,200.0,-648.858908796209,1339000
0,200.0,-665.9383536743644,1341600
0,200.0,-576.9065415659862,1344200
0,200.0,-633.0726150402717,1346800
0,200.0,-633.961563686525,1349400
0,200.0,-620.0510636817298,1352000
0,200.0,-662.8198371263641,1354600
0,200.0,-627.6528154395547,1357200
0,200.0,-700.760931876712,1359800
0,200.0,-676.7897736450727,1362400
0,200.0,-620.8985347897117,1365000
0,200.0,-620.5749668066239,1367600
0,200.0,-646.4215105004872,1370200
0,200.0,-627.4715318504452,1372800
0,200.0,-653.38317236726,1375400
0,200.0,-620.1940092483018,1378000
0,200.0,-586.706680833457,1380600
0,200.0,-595.9406772086884,1383200
0,200.0,-584.3192027555328,1385800
0,200.0,-668.7999920861323,1388400
0,200.0,-644.810163848148,1391000
0,200.0,-626.8362279000626,1393600
0,200.0,-670.0687455141926,1396200
0,200.0,-590.1217316220407,1398800
0,200.0,-620.9089182357933,1401400
0,200.0,-617.3556502694539,1404000
0,200.0,-604.6872550226107,1406600
0,200.0,-601.6715939448453,1409200
0,200.0,-529.051546414573,1411800
0,200.0,-601.0982430614063,1414400
0,200.0,-589.3968654541682,1417000
0,200.0,-601.2017241623953,1419600
0,200.0,-591.620552832733,1422200
0,200.0,-584.9508421628742,1424800
0,200.0,-688.8718376743035,1427400
0,200.0,-508.1730575462979,1430000
0,200.0,-573.1086906701125,1432600
0,200.0,-521.7040771934879,1435200
0,200.0,-559.2429165738235,1437800
0,200.0,-638.3572507722431,1440400
0,200.0,-586.2757243162415,1443000
0,200.0,-559.1053426739978,1445600
0,200.0,-611.7337428529117,1448200
0,200.0,-524.4932178611359,1450800
0,200.0,-518.6311959669915,1453400
0,200.0,-593.0574269468985,1456000
0,200.0,-530.4059620051363,1458600
0,200.0,-556.0172107985212,1461200
0,200.0,-499.8892768023901,1463800
0,200.0,-535.6268434714658,1466400
0,200.0,-521.1586821102865,1469000
0,200.0,-552.9957418009525,1471600
0,200.0,-576.2526505480497,1474200
0,200.0,-549.7416918247119,1476800
0,200.0,-500.1715335905291,1479400
0,200.0,-556.2288247379342,1482000
0,200.0,-471.6997794040159,1484600
0,200.0,-518.9993689604136,1487200
0,200.0,-564.001439361105,1489800
0,200.0,-511.5116814292487,1492400
0,200.0,-480.1924090400697,1495000
0,200.0,-480.0619075794257,1497600
0,200.0,-561.703562301453,1500200
0,200.0,-488.5307164935602,1502800
0,200.0,-472.2509079478244,1505400
0,200.0,-511.0523172988392,1508000
0,200.0,-461.5734185597909,1510600
0,200.0,-526.2972981929851,1513200
0,200.0,-484.95075199858667,1515800
0,200.0,-486.26027088752653,1518400
0,200.0,-440.6832067768751,1521000
0,200.0,-413.0955027516958,1523600
0,200.0,-433.40500582152373,1526200
0,200.0,-367.7708500103635,1528800
0,200.0,-519.4755901803375,1531400
0,200.0,-426.68159831963015,1534000
0,200.0,-359.1965591020003,1536600
0,200.0,-394.0040106894198,1539200
0,200.0,-314.0197263985256,1541800
0,200.0,-341.94090060461855,1544400
0,200.0,-354.55516822745216,1547000
0,200.0,-291.54887779940077,1549600
0,200.0,-222.37058428346938,1552200
0,200.0,-335.5246599332334,1554800
0,200.0,-291.6221662637759,1557400
0,200.0,-312.2102931620278,1560000
0,200.0,-289.78679675858854,1562600
0,200.0,-289.16886878958616,1565200
0,200.0,-305.5025970256667,1567800
0,200.0,-241.2424768625854,1570400
0,200.0,-325.83799248838176,1573000
0,200.0,-259.9146104992304,1575600
0,200.0,-222.1562481794548,1578200
0,200.0,-340.28403098584226,1580800
0,200.0,-231.0238253917998,1583400
0,200.0,-275.68970725810834,1586000
0,200.0,-227.71350389563034,1588600
0,200.0,-263.7013783168464,1591200
0,200.0,-222.34134903500868,1593800
0,200.0,-274.2602390990884,1596400
0,200.0,-243.05041271587976,1599000
0,200.0,-375.9768323054919,1601600
0,200.0,-203.945435197763,1604200
0,200.0,-250.70412009659077,1606800
0,200.0,-228.30591091228956,1609400
0,200.0,-330.6903980035591,1612000
0,200.0,-303.76437438719006,1614600
0,200.0,-207.61782212748224,1617200
0,200.0,-234.16707923717982,1619800
0,200.0,-256.7966172593623,1622400
0,200.0,-183.21480913818675,1625000
0,200.0,-298.67725695834275,1627600
0,200.0,-275.06286136111237,1630200
0,200.0,-225.3502544080554,1632800
0,200.0,-297.7234994030431,1635400
0,200.0,-260.16164736986985,1638000
0,200.0,-258.4538720153894,1640600
0,200.0,-179.41676357277643,1643200
0,200.0,-176.54451698168847,1645800
0,200.0,-266.36740896466415,1648400
0,200.0,-190.04784985170156,1651000
0,200.0,-248.31671482901226,1653600
0,200.0,-224.21134900792822,1656200
0,200.0,-186.3292925407054,1658800
0,200.0,-245.5492372936551,1661400
0,200.0,-300.20055482760813,1664000
0,200.0,-222.45984649738705,1666600
0,200.0,-182.1775901858198,1669200
0,200.0,-274.7684591490032,1671800
0,200.0,-207.6681839349849,1674400
0,200.0,-260.94858905130997,1677000
0,200.0,-182.7552691968654,1679600
0,200.0,-235.32104494445065,1682200
0,200.0,-172.29520431648857,1684800
0,200.0,-180.40097828648797,1687400
0,200.0,-321.88527460502246,1690000
0,200.0,-240.87209586541815,1692600
0,200.0,-286.0202191246502,1695200
0,200.0,-176.72530602821573,1697800
0,200.0,-220.54080464008587,1700400
0,200.0,-227.09544672399346,1703000
0,200.0,-242.76807823949108,1705600
0,200.0,-186.42831359435874,1708200
0,200.0,-246.527305762349,1710800
0,200.0,-282.6329076991021,1713400
0,200.0,-241.06389348561575,1716000
0,200.0,-214.81631462178848,1718600
0,200.0,-155.87320413486128,1721200
0,200.0,-271.2126759387807,1723800
0,200.0,-267.2871322565749,1726400
0,200.0,-174.9410820657902,1729000
0,200.0,-172.67131139948214,1731600
0,200.0,-197.94665243926815,1734200
0,200.0,-196.02685154492576,1736800
0,200.0,-213.11018578664093,1739400
0,200.0,-234.28246871687517,1742000
0,200.0,-214.24366680102668,1744600
0,200.0,-151.6783030574028,1747200
0,200.0,-211.25316357147585,1749800
0,200.0,-169.81652970647758,1752400
0,200.0,-203.9659664699105,1755000
0,200.0,-183.49036188243088,1757600
0,200.0,-178.4142918893586,1760200
0,200.0,-180.8401664498013,1762800
0,200.0,-191.7246291431584,1765400
0,200.0,-223.49162736040938,1768000
0,200.0,-170.6523770251454,1770600
0,200.0,-240.07539885666995,1773200
0,200.0,-170.71090580994905,1775800
0,200.0,-211.6180264995817,1778400
0,200.0,-197.55768183824026,1781000
0,200.0,-297.26565889126755,1783600
0,200.0,-202.6909564574742,1786200
0,200.0,-248.69221132840414,1788800
0,200.0,-238.0129995827086,1791400
0,200.0,-124.7775392936576,1794000
0,200.0,-184.8617078271997,1796600
0,200.0,-220.44942700092193,1799200
0,200.0,-269.4535237598486,1801800
0,200.0,-270.60198073499805,1804400
0,200.0,-178.96597979275552,1807000
0,200.0,-131.85949534251955,1809600
0,200.0,-251.37924336567693,1812200
0,200.0,-201.48769568324803,1814800
0,200.0,-222.53320366018795,1817400
0,200.0,-317.66280895234627,1820000
0,200.0,-291.3807947966018,1822600
0,200.0,-172.70222244997728,1825200
0,200.0,-201.09010552688173,1827800
0,200.0,-209.23741280881134,1830400
0,200.0,-186.92347246675092,1833000
0,200.0,-176.57530397352315,1835600
0,200.0,-226.7642499649989,1838200
0,200.0,-193.58365981642055,1840800
0,200.0,-218.37127113457876,1843400
0,200.0,-151.50956099319217,1846000
0,200.0,-143.34757363588972,1848600
0,200.0,-186.4010703734951,1851200
0,200.0,-224.65092381095275,1853800
0,200.0,-234.53315823740417,1856400
0,200.0,-245.2319413440541,1859000
0,200.0,-209.38556731426232,1861600
0,200.0,-233.02532346483406,1864200
0,200.0,-212.38877986962626,1866800
0,200.0,-164.0171630236144,1869400
0,200.0,-172.3354293258729,1872000
0,200.0,-161.8974331406227,1874600
0,200.0,-267.00986204322373,1877200
0,200.0,-170.93557362961806,1879800
0,200.0,-197.88043792807824,1882400
0,200.0,-199.7902863793558,1885000
0,200.0,-324.82667900631964,1887600
0,200.0,-229.31564225809356,1890200
0,200.0,-238.36050045696845,1892800
0,200.0,-248.23264450776693,1895400
0,200.0,-253.72371116156984,1898000
0,200.0,-305.6962495890271,1900600
0,200.0,-193.1117801004796,1903200
0,200.0,-234.32791078196914,1905800
0,200.0,-226.09408075550252,1908400
0,200.0,-182.92313648833908,1911000
0,200.0,-215.83953801531314,1913600
0,200.0,-437.1613081376323,1916200
0,200.0,-480.94200144436314,1918800
0,200.0,-214.1247316317161,1921400
0,200.0,-201.6205469069588,1924000
0,200.0,-278.73613312843787,1926600
0,200.0,-295.11450042287083,1929200
0,200.0,-242.4700811490202,1931800
0,200.0,-334.9624585302569,1934400
0,200.0,-249.29360741553361,1937000
0,200.0,-282.45919462151613,1939600
0,200.0,-310.8307093787744,1942200
